symbol
OXY
PAYX
PBCT
PBI
PCAR
PCG
PCL
PCP
PCS
PDCO
PEAK
PEG
PEP
PETM
PFE
PFG
PG
PGN
PGR
PH
PHM
PKG
PKI
PLD
PLL
PM
PNC
PNR
PNW
POM
PPG
PPL
PRGO
PRU
PSA
PSX
PVH
PWR
PXD
PYPL
Q
QCOM
QEP
QRVO
QTRN
R
RAI
RCL
RDC
RE
REG
REGN
RF
RHI
RHT
RIG
RJF
RL
RMD
ROK
ROL
ROP
ROST
RRC
RRD
RSG
RSH
RTN
RX
S
SAI
SBAC
SBL
SBUX
SCG
SCHW
SE
SEE
SGP
SHLD
SHW
SIAL
SIG
SII
SIVB
SJM
SLB
SLE
SLG
SLM
SNA
SNDK
SNI
SNPS
SO
SPG
SPGI
SPLS
SRCL
SRE
STE
STI
STJ
STR
STT
STX
STZ
SUN
SVU
SWK
SWKS
SWN
SWY
SYF
SYK
SYY
T
TAP
TDC
TDG
TE
TEG
TEL
TER
TFC
TFX
TGNA
TGT
THC
TIE
TIF
TJX
TLAB
TMO
TMUS
TPR
TRB
TRIP
TROW
TRV
TSCO
TSG
TSN
TSS
TTWO
TWC
TWTR
TWX
TXN
TXT
UA
UAA
UAL
UDR
UHS
ULTA
UNH
UNM
UNP
UPS
URBN
URI
USB
UTX
V
VAR
VFC
VIAB
VIAC
VLO
VMC
VNO
VRSK
VRSN
VRTX
VTR
VZ
WAB
WAT
WBA
WCG
WDC
WEC
WELL
WFC
WFM
WFR
WHR
WIN
WLTW
WM
WMB
WMT
WPX
WRB
WRK
WU
WY
WYN
WYNN
X
XEC
XEL
XL
XLNX
XOM
XRAY
XRX
XTO
XYL
YHOO
YUM
ZBH
ZBRA
ZION
ZTS
BIO
BRO
CARR
CDAY
CRL
CTLT
CZR
DPZ
DXCM
ENPH
EPAM
ETSY
FDS
GNRC
MPWR
MRNA
MTCH
NXPI
OGN
OTIS
PAYC
PENN
POOL
PTC
SBNY
SEDG
TDY
TECH
TRMB
TSLA
TYL
VNT
WST
CEG
NDSN
MOH
CPT
VICI
ON
KDP
INVH
CSGP
EQT
PCG
TRGP
ACGL
MBC
FSLR
STLD
GEHC
